box,title,address,type,types,kosher,phone,image-src
קפיטרי - cafetery,"קפיטרי - cafetery, רמת החייל, תל אביב  אסותא- רמת החייל","הברזל 20, רמת החייל, תל אביב",בית קפה,null,כשר,053-9348618,https://images.rest.co.il/Rests/staticmaps/80307723/s1w566h250lon34.838577lat32.10817.png
מסעדת הקומה ה-11,"מסעדת הקומה ה-11, קניון עזריאלי, תל אביב  מרכז עזריאלי","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",מסעדת בשרים,null,כשר,053-9379517,https://images.rest.co.il/Rests/staticmaps/80055679/s1w566h250lon34.791061lat32.074354.png
הג'חנון של אמא,"הג'חנון של אמא, תל אביב","יצחק שדה 34, תל אביב",מסעדה תימנית,null,₪,053-8092740,https://images.rest.co.il/Rests/staticmaps/32636620/s1w566h250lon34.78792lat32.065013.png
מאתיאו - MATTEO,"מאתיאו - MATTEO, תל אביב","בוגרשוב 87, תל אביב",מסעדה איטלקית,"אוכל איטלקי , ארוחת בוקר , בשרים , דגים ופירות ים",₪₪,053-9381309,https://images.rest.co.il/Rests/staticmaps/80291121/s1w566h250lon34.774902lat32.074315.png
Cofizz,"Cofizz, תל אביב  פינת אלנבי 82","רמב""ם 26, תל אביב",בית קפה,null,כשר למהדרין,053-9387762,https://images.rest.co.il/Rests/staticmaps/80232076/s1w566h250lon34.771001lat32.067501.png
פינג'אן,"פינג'אן, יפו, תל אביב  פינת רבי חנינא 25 שוק הפשפשים","יהודה מרגוזה 28, יפו, תל אביב",בית קפה,null,null,053-9377195,https://images.rest.co.il/Rests/staticmaps/80215359/s1w566h250lon34.754296lat32.05137.png
המסעדה,"המסעדה, רחוב הארבעה, תל אביב","הארבעה 18, תל אביב",מסעדת בשרים,null,₪,053-9387841,https://images.rest.co.il/Rests/staticmaps/80227863/s1w566h250lon34.785269lat32.070292.png
טדרוס,"טדרוס, תל אביב","אלנבי 13, תל אביב",מסעדה אתיופית,null,null,053-9426807,https://images.rest.co.il/Rests/staticmaps/80131594/s1w566h250lon34.766944lat32.073262.png
ארצי,"ארצי, תל אביב","חיים לבנון 2, תל אביב",ביסטרו,ארוחת בוקר ואוכל ים תיכוני,null,053-9416602,https://images.rest.co.il/Rests/staticmaps/80320413/s1w566h250lon34.778934lat32.066236.png
המוסד לסנדביצ'ים מיוחדים,"המוסד לסנדביצ'ים מיוחדים, אבן גבירול, תל אביב","אבן גבירול 67, תל אביב",סנדוויץ' בר,null,₪,053-9379479,https://images.rest.co.il/Rests/staticmaps/80219850/s1w566h250lon34.781129lat32.079381.png
רולדין - ROLADIN,"רולדין - ROLADIN, צפון תל אביב  שיכון ל'","דב האוזנר 3, צפון תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9381190,https://images.rest.co.il/Rests/staticmaps/80274830/s1w566h250lon34.789888lat32.110275.png
הרצוג - Hertzog,"הרצוג - Hertzog, אבן גבירול, תל אביב","אבן גבירול 48, תל אביב",מסעדה טבעונית,null,כשר,053-9377624,https://images.rest.co.il/Rests/staticmaps/80277818/s1w566h250lon34.781442lat32.077464.png
bella bar,"bella bar, יד חרוצים, תל אביב","יד חרוצים 14, תל אביב",פאב-בר,null,כשר,053-6389710,https://images.rest.co.il/Rests/staticmaps/80308028/s1w566h250lon34.783429lat32.061763.png
ג'ופאה,"ג'ופאה, יפו, תל אביב  שוק הפישפשים","רבי פנחס 9, יפו, תל אביב",פאב-בר,null,null,03-6826645,https://images.rest.co.il/Rests/staticmaps/80100591/s1w566h250lon34.755808lat32.05293.png
ביתא קפה - beta caffe,"ביתא קפה - beta caffe, צפון תל אביב  צהלה","צה""ל 71, צפון תל אביב",בית קפה,"אוכל צמחוני , ארוחת בוקר וקפה",₪,053-9443414,https://images.rest.co.il/Rests/staticmaps/80101474/s1w566h250lon34.834546lat32.121737.png
My little kitchen,"My little kitchen, תל אביב","אחוזת בית 3, תל אביב",מסעדת בשרים,null,כשר,053-9368692,https://images.rest.co.il/Rests/staticmaps/80299290/s1w566h250lon34.770574lat32.064365.png
טייגר לילי - tiger lilly,"טייגר לילי - tiger lilly, מתחם שרונה, תל אביב  שרונה מרקט","אלוף קלמן מגן 3, מתחם שרונה, תל אביב",מסעדה תאילנדית,אוכל אסייאתי ואוכל תאילנדי,₪₪,053-9380556,https://images.rest.co.il/Rests/staticmaps/80207385/s1w566h250lon34.787057lat32.071492.png
RAMA רמה,"RAMA רמה, תל אביב","המלך ג'ורג' 38, תל אביב",פאב-בר,null,כשר,053-7104783,https://images.rest.co.il/Rests/staticmaps/80288101/s1w566h250lon34.774719lat32.072857.png
פיצה פינו,"פיצה פינו, תל אביב","בן יהודה 169, תל אביב",פיצריה,אוכל איטלקי ופיצה,כשר,053-9439914,https://images.rest.co.il/Rests/staticmaps/3621450/s1w566h250lon34.773764lat32.089513.png
MEAT DREAMS חלומות הבשר,"MEAT DREAMS חלומות הבשר, תל אביב",תל אביב,null,null,null,050-2443438,
פרנק - נקניקיה עם כבוד,"פרנק - נקניקיה עם כבוד, אבן גבירול, תל אביב","אבן גבירול 23, תל אביב",אוכל רחוב,null,₪,053-9370929,https://images.rest.co.il/Rests/staticmaps/80086083/s1w566h250lon34.781638lat32.073765.png
Elika,"Elika, תל אביב","רבן גמליאל 27, תל אביב",מסעדת בשרים,null,null,053-6659569,https://images.rest.co.il/Rests/staticmaps/80328377/s1w566h250lon34.778934lat32.066236.png
חומוס אליהו,"חומוס אליהו, תל אביב","שד' יהודית 27, תל אביב",חומוס,null,"כשר בד""ץ",053-9387773,https://images.rest.co.il/Rests/staticmaps/80232405/s1w566h250lon34.791601lat32.069982.png
בן עמי,"בן עמי, תל אביב","נחמני 21, תל אביב",בית קפה,null,כשר,053-9439492,https://images.rest.co.il/Rests/staticmaps/80040499/s1w566h250lon34.774686lat32.066042.png
קיקי,"קיקי, דיזנגוף, תל אביב","דיזנגוף 147, תל אביב",מסעדה טבעונית,null,כשר למהדרין,053-9368853,https://images.rest.co.il/Rests/staticmaps/80172170/s1w566h250lon34.773936lat32.082997.png
קפליקס - Cafelix,"קפליקס  - Cafelix, תל אביב","שלמה המלך 12, תל אביב",בית קפה,null,₪,053-7934193,https://images.rest.co.il/Rests/staticmaps/80183460/s1w566h250lon34.776583lat32.077502.png
ליפה - Lipe,"ליפה - Lipe, מתחם שינקין, תל אביב","שיינקין 29, מתחם שינקין, תל אביב",אוכל רחוב,null,₪,053-4277788,https://images.rest.co.il/Rests/staticmaps/80244333/s1w566h250lon34.774245lat32.069113.png
עלמה לאונג' - Alma lounge,"עלמה לאונג' - Alma lounge, תל אביב","יבנה 23, תל אביב",מסעדה חלבית,"ארוחת בוקר , אוכל ים תיכוני , אוכל חלבי וקוקטייל",כשר,053-8093682,https://images.rest.co.il/Rests/staticmaps/80323832/s1w566h250lon34.773624lat32.064353.png
LELO ללא,"LELO ללא, תל אביב","ה באייר 12, תל אביב",null,null,null,03-7572052,https://images.rest.co.il/Rests/staticmaps/80324803/s1w566h250lon34.778934lat32.066236.png
קייטרינג אורין,"קייטרינג אורין, תל אביב",תל אביב,קייטרינג,null,null,052-9127983,https://images.rest.co.il/Rests/staticmaps/80121902/s1w566h250lon34.778934lat32.066236.png
קאסה דל-פפה תל אביב,"קאסה דל-פפה תל אביב, תל אביב  כפר שלם","סנפיר 1, תל אביב",פיצריה,null,כשר,053-9372368,https://images.rest.co.il/Rests/staticmaps/80321165/s1w566h250lon34.808682lat32.052692.png
מרגוזה בייקרי (מאפיה משפחתית),"מרגוזה בייקרי (מאפיה משפחתית), יפו, תל אביב","יהודה מרגוזה 24, יפו, תל אביב",קונדיטוריה-מאפיה,null,₪,03-6817787,https://images.rest.co.il/Rests/staticmaps/80070574/s1w566h250lon34.754721lat32.05155.png
הלב הרחב הגדול,"הלב הרחב הגדול, תל אביב","רבי עקיבא 10, תל אביב",מסעדה מזרחית,null,כשר,053-9438828,https://images.rest.co.il/Rests/staticmaps/23577540/s1w566h250lon34.769086lat32.07012.png
רד מיט,"רד מיט, תל אביב","בוגרשוב 9, תל אביב",מסעדה דרום אמריקאית,null,כשר,053-9379777,https://images.rest.co.il/Rests/staticmaps/80287624/s1w566h250lon34.768574lat32.077622.png
טבעל'ה,"טבעל'ה, תל אביב","בוגרשוב 106, תל אביב",מסעדה טבעונית,null,null,053-9380954,https://images.rest.co.il/Rests/staticmaps/80223249/s1w566h250lon34.775099lat32.074088.png
לאב איט-אספרסו ברייק,"לאב איט-אספרסו ברייק, יפו, תל אביב  מחסן 1, יפו","נמל יפו, יפו, תל אביב",בית קפה,null,null,03-7266660,https://images.rest.co.il/Rests/staticmaps/80145164/s1w566h250lon34.748321lat32.051546.png
המרקיה של חנה,"המרקיה של חנה, שכונת התקווה, תל אביב  שכונת התקווה","אצ""ל 58, שכונת התקווה, תל אביב",מסעדה תימנית,null,₪,053-9440200,https://images.rest.co.il/Rests/staticmaps/80019199/s1w566h250lon34.792282lat32.049578.png
פינת המפגש,"פינת המפגש, תל אביב","המלך ג'ורג' 21, תל אביב",מסעדה מזרחית,null,כשר למהדרין,053-9369662,https://images.rest.co.il/Rests/staticmaps/10761810/s1w566h250lon34.772427lat32.07121.png
כולי עלמא - KULI  ALMA,"כולי עלמא - KULI  ALMA, תל אביב","מקוה ישראל 10, תל אביב",פאב-בר,null,null,053-5495039,https://images.rest.co.il/Rests/staticmaps/80249262/s1w566h250lon34.774878lat32.062311.png
ארומה,"ארומה, פלורנטין, תל אביב","לוינסקי 45, פלורנטין, תל אביב",בית קפה,null,כשר,03-9303292,https://images.rest.co.il/Rests/staticmaps/80075554/s1w566h250lon34.772171lat32.059787.png
בקו - Baku,"בקו - Baku, יפו, תל אביב","יפת 246, יפו, תל אביב",מסעדה גרוזינית,null,null,053-7106830,https://images.rest.co.il/Rests/staticmaps/80154558/s1w566h250lon34.745938lat32.034117.png
רן זיפות וסיוד,"רן זיפות וסיוד, תל אביב",תל אביב,מטבח ביתי,null,null,052-9127983,https://images.rest.co.il/Rests/staticmaps/80121574/s1w566h250lon34.778934lat32.066236.png
חומוס אבו מרואן,"חומוס אבו מרואן, נחלת בנימין, תל אביב","נחלת בנימין 52, תל אביב",חומוס,null,₪,053-4293248,https://images.rest.co.il/Rests/staticmaps/80246770/s1w566h250lon34.771589lat32.063332.png
"ורדית קייטרינג בע""מ","ורדית קייטרינג בע""מ, דיזנגוף, תל אביב","דיזנגוף, תל אביב",קייטרינג,null,null,053-9439923,https://images.rest.co.il/Rests/staticmaps/6872100/s1w566h250lon34.775015lat32.075484.png
מסה - MESSA,"מסה - MESSA, רחוב הארבעה, תל אביב","הארבעה 19, תל אביב",מסעדת קונספט,null,₪₪₪,053-9418828,https://images.rest.co.il/Rests/staticmaps/75804910/s1w566h250lon34.786661lat32.070442.png
110 בורגר,"110 בורגר, מתחם שרונה, תל אביב  מתחם שרונה","אליעזר קפלן 34, מתחם שרונה, תל אביב",מסעדת בשרים,null,₪,053-9367136,https://images.rest.co.il/Rests/staticmaps/80182273/s1w566h250lon34.787961lat32.073218.png
שולי הקוסקוס של סבתא,"שולי הקוסקוס של סבתא, תל אביב","הכרמל 7, תל אביב",מטבח ביתי,null,null,053-9425024,https://images.rest.co.il/Rests/staticmaps/80317692/s1w566h250lon34.76793lat32.067949.png
חביתוש,"חביתוש, תל אביב","בן יהודה 9, תל אביב",null,null,null,03-5249222,https://images.rest.co.il/Rests/staticmaps/80135282/s1w566h250lon34.768039lat32.074287.png
צ'ין צ'ין,"צ'ין צ'ין, נמל תל-אביב  נמל","התערוכה 3, נמל תל-אביב",פאב-בר,null,null,053-9439310,https://images.rest.co.il/Rests/staticmaps/80042284/s1w566h250lon34.775565lat32.09727.png
פונדק השובבים,"פונדק השובבים, תל אביב","נחלת בנימין 68, תל אביב",מסעדת בשרים,null,כשר,053-9368748,https://images.rest.co.il/Rests/staticmaps/12108140/s1w566h250lon34.772429lat32.061305.png
ג`חנון מול הים,"ג`חנון מול הים, תל אביב","הירקון 22, תל אביב",מסעדה תימנית,null,₪,053-8092802,https://images.rest.co.il/Rests/staticmaps/80097463/s1w566h250lon34.765068lat32.070632.png
ביר סטיישן - Beer Station,"ביר סטיישן - Beer Station, פלורנטין, תל אביב","הרב יצחק ידידיה פרנקל 28, פלורנטין, תל אביב",פאב-בר,null,₪,053-6114105,https://images.rest.co.il/Rests/staticmaps/80304431/s1w566h250lon34.769633lat32.057182.png
ארומה,"ארומה, תל אביב  מגדלי ת""א","נחלת יצחק 18, תל אביב",בית קפה,null,כשר,053-9376764,https://images.rest.co.il/Rests/staticmaps/80235370/s1w566h250lon34.797909lat32.074606.png
יחזקאל תל אביב,"יחזקאל תל אביב, תל אביב","בן יהודה 77, תל אביב",null,null,null,03-6102626,https://images.rest.co.il/Rests/staticmaps/80323493/s1w566h250lon34.778934lat32.066236.png
אניטה גלידה,"אניטה גלידה, פלורנטין, תל אביב","פלורנטין 3, תל אביב",גלידריה,null,₪,053-9440165,https://images.rest.co.il/Rests/staticmaps/80072902/s1w566h250lon34.767524lat32.056301.png
קונדטוריה עוזי,"קונדטוריה עוזי, תל אביב  שכ' מונטיפיורי","שד' יהודית 7, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9439539,https://images.rest.co.il/Rests/staticmaps/10566960/s1w566h250lon34.789781lat32.070239.png
"קלואליס, מלון הילטון","קלואליס, מלון הילטון, תל אביב  מלון הילטון","הירקון 205, תל אביב",מסעדת דגים,null,כשר,053-9444012,https://images.rest.co.il/Rests/staticmaps/76643940/s1w566h250lon34.770987lat32.08963.png
נרקוס,"נרקוס, צפון תל אביב","בית אל 12, צפון תל אביב",אוכל רחוב,null,כשר,053-9416945,https://images.rest.co.il/Rests/staticmaps/80306976/s1w566h250lon34.83941lat32.118624.png
אנינה מטבח איטלקי תל אביב,"אנינה מטבח איטלקי תל אביב, רמת החייל, תל אביב  שוק צפון","ראול וולנברג 20, רמת החייל, תל אביב",מסעדה איטלקית,null,₪₪,03-9402244,https://images.rest.co.il/Rests/staticmaps/80294657/s1w566h250lon34.837534lat32.110007.png
שף בשכונה תל אביב,"שף בשכונה תל אביב, תל אביב",תל אביב,מטבח ביתי,null,null,052-9553702,
מדאמס חומוס,"מדאמס חומוס, מעוז אביב, תל אביב","הדר יוסף 14, מעוז אביב, תל אביב",חומוס,null,null,03-6443020,https://images.rest.co.il/Rests/staticmaps/80125280/s1w566h250lon34.818294lat32.109401.png
בורקס,"בורקס , רמת אביב, תל אביב","דרך נמיר 170, רמת אביב, תל אביב",קונדיטוריה-מאפיה,null,null,053-9365726,https://images.rest.co.il/Rests/staticmaps/80180825/s1w566h250lon34.79255lat32.112016.png
האני לולו,"האני לולו, תל אביב","יגאל אלון 94, תל אביב",גלידריה,null,null,03-9774262,https://images.rest.co.il/Rests/staticmaps/80327895/s1w566h250lon34.778934lat32.066236.png
באלינג'רה,"באלינג'רה, תל אביב","מל""ן 4, תל אביב",מסעדה אתיופית,"אוכל אתיופי , אוכל טבעוני , אוכל צמחוני ותבשיל",null,053-9383941,https://images.rest.co.il/Rests/staticmaps/80227033/s1w566h250lon34.766619lat32.069832.png
סנסט בר Sunset Bar,"סנסט בר Sunset Bar, תל אביב","הירקון 205, תל אביב",פאב-בר,null,null,053-4277753,https://images.rest.co.il/Rests/staticmaps/80244309/s1w566h250lon34.770987lat32.08963.png
כחול,"כחול, צפון תל אביב","ארצי יצחק 2, צפון תל אביב",בית קפה,null,₪₪,03-7419490,https://images.rest.co.il/Rests/staticmaps/80071098/s1w566h250lon34.7851lat32.122192.png
שווארמה עאוני אקספרס,"שווארמה עאוני אקספרס, תל אביב","דרך שלמה 19, תל אביב",אוכל רחוב,null,₪,053-7102135,https://images.rest.co.il/Rests/staticmaps/80156767/s1w566h250lon34.763066lat32.054554.png
cofix,"cofix, תחנה מרכזית חדשה תל אביב  תחנה מרכזית חדשה ק. 4 שער 42","לוינסקי 108, תחנה מרכזית חדשה תל אביב",בית קפה,null,כשר,053-9377296,https://images.rest.co.il/Rests/staticmaps/80242371/s1w566h250lon34.779784lat32.056602.png
מסעדת התימני,"מסעדת התימני, תל אביב","יהודה הלוי 39, תל אביב",מסעדה תימנית,null,כשר,053-7103038,https://images.rest.co.il/Rests/staticmaps/80020589/s1w566h250lon34.772452lat32.061816.png
רוסטיקו - RUSTICO,"רוסטיקו - RUSTICO, מתחם בזל, תל אביב","בזל 42, מתחם בזל, תל אביב",מסעדה איטלקית,null,₪,053-9442920,https://images.rest.co.il/Rests/staticmaps/80055858/s1w566h250lon34.779968lat32.089789.png
הלחם מקסים,"הלחם מקסים, דיזנגוף, תל אביב","דיזנגוף 154, תל אביב",קונדיטוריה-מאפיה,null,₪,053-9375562,https://images.rest.co.il/Rests/staticmaps/80212095/s1w566h250lon34.774118lat32.083289.png
לניס - Lenny's,"לניס  - Lenny's, פלורנטין, תל אביב","ויטל חיים 7, פלורנטין, תל אביב",פאב-בר,null,₪,053-7933514,https://images.rest.co.il/Rests/staticmaps/66482570/s1w566h250lon34.767926lat32.056562.png
מונופול,"מונופול, תל אביב  מגדל שלום","אחד העם 9, תל אביב",מסעדת בשרים,null,כשר,053-9374784,https://images.rest.co.il/Rests/staticmaps/22119100/s1w566h250lon34.769625lat32.063719.png
סלון יווני,"סלון יווני, תל אביב","הרצל רוזנבלום 12, תל אביב",null,null,null,050-7740025,https://images.rest.co.il/Rests/staticmaps/80323138/s1w566h250lon34.778934lat32.066236.png
pizza 4 the people,"pizza 4 the people, תל אביב","עולי ציון 26, תל אביב",פיצריה,null,null,03-6316000,https://images.rest.co.il/Rests/staticmaps/80327719/s1w566h250lon34.778934lat32.066236.png
תחנת לחםם,"תחנת לחםם, תל אביב","המלך ג'ורג' 20, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-4294488,https://images.rest.co.il/Rests/staticmaps/80247507/s1w566h250lon34.773015lat32.071499.png
שניצל קומפני,"שניצל קומפני, רחוב הארבעה, תל אביב","הארבעה 16, תל אביב",שניצליה,null,כשר,053-7102781,https://images.rest.co.il/Rests/staticmaps/80315341/s1w566h250lon34.785015lat32.070297.png
בשה נרגילה בר,"בשה נרגילה בר, נמל תל-אביב","הירקון 296, נמל תל-אביב",פאב-בר,null,null,053-9365716,https://images.rest.co.il/Rests/staticmaps/80180661/s1w566h250lon34.774596lat32.096149.png
cofix,"cofix, תל אביב","בוגרשוב 41, תל אביב",בית קפה,null,כשר,053-9377296,https://images.rest.co.il/Rests/staticmaps/80242343/s1w566h250lon34.771167lat32.076273.png
nit noi,"nit noi, תל אביב","האנגר 12, תל אביב",מסעדה אסייאתית,null,null,054-9368904,https://images.rest.co.il/Rests/staticmaps/80323428/s1w566h250lon34.778934lat32.066236.png
המלביה,"המלביה, יפו, תל אביב  שוק הפשפשים","עמיעד 11, יפו, תל אביב",מסעדה חלבית,null,₪,053-9376906,https://images.rest.co.il/Rests/staticmaps/80212654/s1w566h250lon34.755867lat32.053424.png
אפל שטרודל,"אפל שטרודל , יפו, תל אביב  שוק הפשפשים","עולי ציון 8, יפו, תל אביב",קונדיטוריה-מאפיה,null,null,053-7933775,https://images.rest.co.il/Rests/staticmaps/80188621/s1w566h250lon34.756235lat32.053456.png
Brezza,"Brezza, תל אביב","שד' בן ציון 3, תל אביב",null,null,null,03-5251141,https://images.rest.co.il/Rests/staticmaps/80329903/s1w566h250lon34.778934lat32.066236.png
shi shi,"shi shi, אבן גבירול, תל אביב","אבן גבירול 33, תל אביב",מסעדה אסייאתית,null,null,053-9379472,https://images.rest.co.il/Rests/staticmaps/80220653/s1w566h250lon34.781551lat32.075344.png
רובינא - robina,"רובינא - robina, תל אביב","מרמורק 6, תל אביב",פאב-בר,"בשרים , דגים , המבורגר , חומוס , פיצה",₪,053-9380948,https://images.rest.co.il/Rests/staticmaps/80222654/s1w566h250lon34.779846lat32.071592.png
חומוס הכרם,"חומוס הכרם, תל אביב  פינת הרצל 24","סמ' בית הבד 6, תל אביב",חומוס,null,כשר,053-9385757,https://images.rest.co.il/Rests/staticmaps/80253506/s1w566h250lon34.778934lat32.066236.png
קפה לנדוור,"קפה לנדוור, מגדל האופרה, תל אביב","הרברט סמואל 60, מגדל האופרה, תל אביב",פאב-בר,null,null,053-9377594,https://images.rest.co.il/Rests/staticmaps/80278543/s1w566h250lon34.765394lat32.074192.png
דדה - DEDE,"דדה - DEDE, פלורנטין, תל אביב  שכונת פלורנטין","אוריאל אקוסטה 16, פלורנטין, תל אביב",פאב-בר,null,null,053-5495382,https://images.rest.co.il/Rests/staticmaps/80252472/s1w566h250lon34.769575lat32.057532.png
ישתבח,"ישתבח, תל אביב","הכרמל, תל אביב",null,null,null,054-7221973,https://images.rest.co.il/Rests/staticmaps/80322637/s1w566h250lon34.778934lat32.066236.png
קפה ביאליק,"קפה ביאליק, תל אביב","ביאליק 2, תל אביב",בית קפה,null,₪₪,053-9444147,https://images.rest.co.il/Rests/staticmaps/65732650/s1w566h250lon34.770018lat32.070935.png
בננה ביץ,"בננה ביץ, תל אביב  חוף אביב","הרברט סמואל 9, תל אביב",בית קפה,null,null,053-9372549,https://images.rest.co.il/Rests/staticmaps/80201514/s1w566h250lon34.763354lat32.068842.png
באלאנס קפה,"באלאנס קפה, תל אביב","ארלוזורוב 62, תל אביב",בית קפה,null,₪,053-6130894,https://images.rest.co.il/Rests/staticmaps/80179486/s1w566h250lon34.777669lat32.0862.png
בל קפה - Bell-Cafe,"בל קפה - Bell-Cafe, יפו, תל אביב","ככר קדומים 10, יפו, תל אביב",מסעדה ים תיכונית,null,₪₪,053-9381553,https://images.rest.co.il/Rests/staticmaps/80225368/s1w566h250lon34.751496lat32.054206.png
ראג' מאהל,"ראג' מאהל, תל אביב","ריב""ל 21, תל אביב",מסעדה הודית,null,₪,053-9375951,https://images.rest.co.il/Rests/staticmaps/80268772/s1w566h250lon34.783329lat32.062654.png
סינג לונג,"סינג לונג, תל אביב  תחנה מרכזית חדשה","דרך שלמה 134, תל אביב",מסעדה סינית,null,₪₪,053-5494973,https://images.rest.co.il/Rests/staticmaps/80269629/s1w566h250lon34.777642lat32.054305.png
הסביח,"הסביח, תל אביב","הרצל 97, תל אביב",אוכל רחוב,null,₪,053-9375654,https://images.rest.co.il/Rests/staticmaps/80212596/s1w566h250lon34.770889lat32.053988.png
טאו בר,"טאו בר, תל אביב","בוגרשוב 26, תל אביב",פאב-בר,null,null,053-9370822,https://images.rest.co.il/Rests/staticmaps/80170745/s1w566h250lon34.769791lat32.076855.png
קפה חלוצה,"קפה חלוצה, תל אביב","פוריה 12, תל אביב",בית קפה,null,null,053-9372543,https://images.rest.co.il/Rests/staticmaps/80201900/s1w566h250lon34.761687lat32.055177.png
לחם בשר,"לחם בשר, נמל תל-אביב","האנגר 14, נמל תל-אביב",מסעדת בשרים,"אוכל ארגנטינאי , אוכל צרפתי , בשרים , אוכל גורמה ומטבח אוריינטלי","כשר בד""ץ",053-9427409,https://images.rest.co.il/Rests/staticmaps/80259070/s1w566h250lon34.774367lat32.098894.png
שי אביעד,"שי אביעד, תל אביב","צה""ל, תל אביב",null,null,null,054-9930499,https://images.rest.co.il/Rests/staticmaps/80291195/s1w566h250lon34.778934lat32.066236.png
"לחם פז בע""מ","לחם פז בע""מ, תל אביב","ריב""ל 7, תל אביב",קונדיטוריה-מאפיה,null,null,050-2364236,https://images.rest.co.il/Rests/staticmaps/80288443/s1w566h250lon34.782273lat32.062761.png
תומא - toma,"תומא - toma, אבן גבירול, תל אביב","אבן גבירול 26, תל אביב",פאב-בר,null,null,053-4872295,https://images.rest.co.il/Rests/staticmaps/80135539/s1w566h250lon34.781846lat32.074397.png
סגפרדו - Segafredo,"סגפרדו - Segafredo, דיזנגוף, תל אביב","דיזנגוף 106, תל אביב",בית קפה,null,null,053-9439076,https://images.rest.co.il/Rests/staticmaps/73045530/s1w566h250lon34.773887lat32.079786.png
שפר,"שפר, תל אביב","שפ""ר 10, תל אביב",בית קפה,null,₪,053-9438831,https://images.rest.co.il/Rests/staticmaps/80103292/s1w566h250lon34.768811lat32.067449.png
Babaji,"Babaji, פלורנטין, תל אביב","אברבנאל 35, פלורנטין, תל אביב",מסעדה הודית,null,null,053-9368701,https://images.rest.co.il/Rests/staticmaps/80298755/s1w566h250lon34.767213lat32.056673.png
קופי בר,"קופי בר, יד חרוצים, תל אביב","יד חרוצים 13, תל אביב",ביסטרו,null,₪₪,053-9380639,https://images.rest.co.il/Rests/staticmaps/33411380/s1w566h250lon34.783442lat32.061882.png
מל ומישל - Mel&Michell,"מל ומישל - Mel&Michell, תל אביב","בן יהודה 155, תל אביב",מסעדה איטלקית,null,₪₪₪,053-9439213,https://images.rest.co.il/Rests/staticmaps/80018764/s1w566h250lon34.773368lat32.088177.png
זויפער,"זויפער, רמת החייל, תל אביב","רמת החייל, תל אביב",פאב-בר,null,null,053-7933757,https://images.rest.co.il/Rests/staticmaps/80188505/s1w566h250lon34.838874lat32.111486.png
ברבוניה,"ברבוניה, תל אביב","בן יהודה 192, תל אביב",מסעדת דגים,null,null,03-5240961,https://images.rest.co.il/Rests/staticmaps/25293520/s1w566h250lon34.77384lat32.089025.png
לחם תושיה,"לחם תושיה, מתחם בזל, תל אביב","בזל 44, מתחם בזל, תל אביב",קונדיטוריה-מאפיה,null,null,03-5441163,https://images.rest.co.il/Rests/staticmaps/33974110/s1w566h250lon34.78033lat32.089741.png
האנקי דורי,"האנקי דורי, אבן גבירול, תל אביב","אבן גבירול 14, תל אביב",פאב-בר,null,null,053-9367492,https://images.rest.co.il/Rests/staticmaps/80186731/s1w566h250lon34.781934lat32.072767.png
בא טוב,"בא טוב, תל אביב","המסגר 78, תל אביב",מטבח ביתי,null,כשר,053-9427667,https://images.rest.co.il/Rests/staticmaps/80278602/s1w566h250lon34.787763lat32.068925.png
האחים קלבוני,"האחים קלבוני, תל אביב","לינקולן 19, תל אביב",חומוס,null,null,053-9366033,https://images.rest.co.il/Rests/staticmaps/80189384/s1w566h250lon34.783048lat32.066357.png
ספאגוס בר,"ספאגוס בר, תל אביב","השרון 14, תל אביב",מסעדה איטלקית,null,כשר,053-9440191,https://images.rest.co.il/Rests/staticmaps/11161280/s1w566h250lon34.779369lat32.062634.png
רעמסס - RAMESSES,"רעמסס - RAMESSES, יפו, תל אביב  השוק היווני","הגמנסיה העברית 7, יפו, תל אביב",פאב-בר,null,₪₪,053-4277094,https://images.rest.co.il/Rests/staticmaps/80241680/s1w566h250lon34.756896lat32.054845.png
אדמונד קפה וקליה,"אדמונד קפה וקליה, תל אביב","אלנבי 97, תל אביב",בית קפה,null,null,053-9377339,https://images.rest.co.il/Rests/staticmaps/80277065/s1w566h250lon34.772541lat32.064741.png
מאנה,"מאנה, תל אביב","אבן גבירול 61, תל אביב",null,null,null,03-5059433,https://images.rest.co.il/Rests/staticmaps/80322284/s1w566h250lon34.778934lat32.066236.png
באקאפיקו - Beccafico  תל אביב - Beccafico,"באקאפיקו - Beccafico  תל אביב - Beccafico, נווה צדק, תל אביב","שבזי 49, נווה צדק, תל אביב",מסעדה איטלקית,אוכל איטלקי,null,053-9372545,https://images.rest.co.il/Rests/staticmaps/80201626/s1w566h250lon34.767064lat32.062983.png
Ouzeria Next Door,"Ouzeria Next Door, תל אביב",תל אביב,בית קפה,null,null,03-5551299,
goldeage cocktails,"goldeage cocktails, תל אביב","גאולה 51, תל אביב",פאב-בר,null,null,053-9385186,https://images.rest.co.il/Rests/staticmaps/80237141/s1w566h250lon34.769448lat32.071209.png
רויו כיבודים,"רויו כיבודים, תל אביב",תל אביב,קייטרינג,null,null,053-4272375,https://images.rest.co.il/Rests/staticmaps/80237785/s1w566h250lon34.778934lat32.066236.png
